mode,configuration,system,topology,valid_trial_count,failed_trial_count,throughput_rps_mean,throughput_rps_stdev,throughput_rps_median,throughput_rps_minimum,throughput_rps_maximum,throughput_rps_ci95,average_latency_us_mean,average_latency_us_stdev,average_latency_us_median,average_latency_us_minimum,average_latency_us_maximum,average_latency_us_ci95,p50_latency_us_mean,p50_latency_us_stdev,p50_latency_us_median,p50_latency_us_minimum,p50_latency_us_maximum,p50_latency_us_ci95,p95_latency_us_mean,p95_latency_us_stdev,p95_latency_us_median,p95_latency_us_minimum,p95_latency_us_maximum,p95_latency_us_ci95,p99_latency_us_mean,p99_latency_us_stdev,p99_latency_us_median,p99_latency_us_minimum,p99_latency_us_maximum,p99_latency_us_ci95
fixed-rate,rate-100_concurrency-64,Direct backend,host-veth,5,0,100.08,0.0,100.08,100.08,100.08,0.0,1228.0,112.1160113453917,1160.0,1130.0,1360.0,98.27401691189792,1179.6,96.42510046663162,1137.0,1085.0,1293.0,84.52032711720891,2237.8,249.58305230924634,2091.0,2034.0,2523.0,218.76919103018136,2843.8,373.75018394644303,2629.0,2525.0,3267.0,327.6064806196605
fixed-rate,rate-100_concurrency-64,Envoy only,docker-bridge,5,0,100.074,0.005477225575054463,100.07,100.07,100.08,0.004800999895857485,3758.0,198.4187491140895,3740.0,3550.0,4050.0,173.92170192359546,3637.0,200.28979005431106,3637.0,3399.0,3919.0,175.5617416181555,5615.8,356.50974741232534,5595.0,5155.0,6031.0,312.4945717032537,7593.4,617.4891092157011,7627.0,6847.0,8231.0,541.253068440263
fixed-rate,rate-100_concurrency-64,VSR (Envoy ExtProc),docker-bridge,5,0,100.046,0.015165750888098678,100.04,100.03,100.07,0.013293366766921647,19608.0,266.0263144878717,19660.0,19200.0,19860.0,233.18234581545835,18978.2,404.6766610517587,19023.0,18463.0,19439.0,354.7147330235946,36101.4,1769.9211281862251,35871.0,33887.0,38495.0,1551.404271315507,45285.4,1864.9988739942983,44223.0,43679.0,47519.0,1634.7435900030316
fixed-rate,rate-100_concurrency-64,XSR (SK_SKB/SOCKMAP),host-veth,5,0,100.08,0.0,100.08,100.08,100.08,0.0,1838.0,109.63576058932597,1800.0,1710.0,1980.0,96.0999812695091,1771.0,99.57158229133451,1755.0,1640.0,1890.0,87.27834003921018,3058.6,198.7027931358792,2943.0,2885.0,3319.0,174.17067748619456,3861.8,366.10271782656844,3647.0,3569.0,4283.0,320.90318101259135
fixed-rate,rate-250_concurrency-64,Direct backend,host-veth,5,0,249.564,0.7065620991816755,250.08,248.79,250.08,0.6193289865653085,1262.0,129.88456413292536,1280.0,1110.0,1410.0,113.84884013462762,1221.8,108.56656944013659,1233.0,1098.0,1350.0,95.1627939060219,2244.8,260.58242458001655,2291.0,1971.0,2541.0,228.4105659202306,2763.8,373.77426342646976,2801.0,2357.0,3169.0,327.6275872145079
fixed-rate,rate-250_concurrency-64,Envoy only,docker-bridge,5,0,250.062,0.004472135954995512,250.06,250.06,250.07,0.003919999999996434,3590.0,181.6590212458495,3680.0,3320.0,3760.0,159.2311527308648,3479.8,182.13511468138154,3513.0,3215.0,3653.0,159.64846702677733,5355.8,233.8272866882734,5403.0,4971.0,5607.0,204.95865354748992,7035.8,381.7894707820005,7083.0,6427.0,7471.0,334.65322622679133
fixed-rate,rate-250_concurrency-64,VSR (Envoy ExtProc),docker-bridge,5,0,249.718,0.6315615567781167,249.98,248.59,250.06,0.5535881125891331,12694.0,2005.2755421637196,13390.0,9150.0,14110.0,1757.7015109511624,11095.0,3225.5628966120007,12431.0,5351.0,12903.0,2827.330537790019,28943.0,2947.7584704313886,29439.0,24239.0,32399.0,2583.8242218850723,37567.0,3792.506295314485,38783.0,30943.0,40159.0,3324.27833751628
fixed-rate,rate-250_concurrency-64,XSR (SK_SKB/SOCKMAP),host-veth,5,0,250.076,0.005477225575062247,250.08,250.07,250.08,0.0048009998958643075,1894.0,123.61229712289955,1890.0,1730.0,2050.0,108.35095569490838,1808.6,125.85428081714186,1747.0,1679.0,1988.0,110.31614104925896,3115.8,210.39771861881013,3063.0,2839.0,3371.0,184.42173164787278,3926.6,205.6132291463757,3997.0,3569.0,4085.0,180.22794171825853
fixed-rate,rate-500_concurrency-64,Direct backend,host-veth,5,0,500.534,0.008944271910019622,500.54,500.52,500.54,0.007840000000017937,1294.0,26.076809620810597,1280.0,1280.0,1340.0,22.857331427793575,1235.8,23.742367194532225,1233.0,1213.0,1275.0,20.81110242154413,2410.2,49.89188310737529,2437.0,2341.0,2459.0,43.73216372419732,3179.8,99.44445685909295,3139.0,3103.0,3353.0,87.166909684811
fixed-rate,rate-500_concurrency-64,Envoy only,docker-bridge,5,0,500.48400000000004,0.016733200530666292,500.48,500.47,500.51,0.01466729695614051,3712.0,264.14011433328335,3580.0,3490.0,4100.0,231.5290184836449,3546.2,269.8614459310555,3371.0,3351.0,3959.0,236.54398674242387,5613.4,256.2748524533767,5579.0,5395.0,6015.0,224.63481247571576,8033.4,490.33539541827895,8115.0,7327.0,8543.0,429.79792416436817
