signal,system,requested_rps,trials,valid_trials,latency_mean_us,latency_sd_us,latency_ci95_halfwidth_us,latency_cv,p50_us,p95_us,p99_us,max_us,nominal_achieved_rps,effective_completion_rps,elapsed_to_last_completion_s,post_window_drain_s,scheduling_mean_us,scheduling_p95_us,scheduling_p99_us,scheduling_max_us,interarrival_mean_us,worker_busy_events,backlog_count,errors,status
ngram,XSR,100,5,5,808.51883245,2.5432554606092226,3.1573624906275306,0.003145573558135396,537.8219,2308.34685,4963.581411999993,8782.282,100.0,100.02088186670159,39.9916490066,0.0,1025.6054173,2003.6198599999998,2108.012862,2824.285,10000.057866966743,0,0,0,valid steady-state
ngram,VSR,100,5,5,3124.33869365,10.853145085280625,13.47379912413322,0.0034737415336368246,2276.543,8418.38813,14531.918187999987,22563.94,100.0,100.01713016812894,39.9931491088,0.0,630.88658555,1079.12538,1145.3828919999996,2095.294,10000.035006751688,0,0,0,valid steady-state
ngram,LLMR,100,5,0,135714.8955224,700.6750875664047,869.8635563213875,0.005162845867944959,99618.5233,344127.9487799998,427923.7427319998,582381.819,100.0,29.46304775726614,135.7661735236,95.7661735236,47626843.79986695,88966377.62293999,95156332.951732,96784131.273,33924.37773473369,19980,19980,0,overloaded/invalid steady-state
bm25,XSR,100,5,5,557.8290104,11.576586438898518,14.371926201597466,0.02075293006112634,506.86789999999996,880.8367500000002,1490.4514360000028,6223.0868,100.0,100.01993503999795,39.992027576199995,0.0,1089.66636505,2050.77936,2178.1140920000007,5155.9666,10000.212797549388,0,0,0,valid steady-state
bm25,VSR,100,5,5,2748.51908305,29.937931344707245,37.16689217374883,0.010892386205114306,2572.2172,4081.2587100000005,5502.365282000005,9722.7914,100.0,100.0161653779132,39.9935348964,0.0,660.5816871,1108.8564700000002,1178.2699880000005,4016.8478000000005,10000.021014103526,0,0,0,valid steady-state
bm25,LLMR,100,5,0,91412.3458368,257.2764819184144,319.3997324732877,0.0028144609960861788,84860.2693,126219.12245999998,148350.51038999992,383785.654,100.0,43.73570000172891,91.459041947,51.459041947,25750028.4922002,48559831.77823,50975885.757783994,51694775.167,22849.07998024506,19980,19980,0,overloaded/invalid steady-state
intent,XSR,100,5,5,388.9259875,1.283781562219524,1.5937698015362478,0.0033008377004365747,386.6945,492.88420999999994,551.9299959999998,1891.554,100.0,100.02132677516116,39.9914711148,0.0,1075.565434,2013.12636,2115.0302039999997,2767.804,10000.097702275569,0,0,0,valid steady-state
intent,VSR*,100,5,5,1445.1643297,14.110561581608629,17.517767502910914,0.009763984130813568,1424.3738,1682.42631,1920.3372059999997,10765.737,100.0,100.01831806806193,39.9926741332,0.0,976.8787798,2067.50181,2125.9288579999998,2732.811,10000.122338834708,0,0,0,valid steady-state
intent,LLMR,100,5,0,81942.7107512,701.5795458550199,870.9864095773976,0.008561829837253045,81471.3586,84761.08148,87765.72944199997,384919.949,100.0,48.79001262637762,81.988743664,41.988743664,20983837.16323675,39839608.832109995,41527270.827429995,43147279.55,20481.773205651414,19980,19980,0,overloaded/invalid steady-state
