signal,concurrency,system,trials,throughput_rps_mean,throughput_rps_sd,throughput_rps_ci95
ngram,1,XSR,5,1993.194,9.149807648251391,8.020160017954737
ngram,1,VSR,5,295.028,0.42334383189082647,0.3710772296975475
ngram,1,LLMR,5,30.646,0.06465291950097773,0.056670782595619126
ngram,2,XSR,5,3578.698,32.04830759962219,28.091580187778703
ngram,2,VSR,5,400.364,5.8879436138604335,5.1610101299648585
ngram,2,LLMR,5,29.624,0.026076809620811537,0.022857331427794402
ngram,4,XSR,5,6026.16,22.925011450378925,20.09465852329926
ngram,4,VSR,5,464.366,6.564421528207955,5.753969165854127
ngram,4,LLMR,5,34.434,0.18928814014617917,0.16591837029093454
ngram,8,XSR,5,6075.648,47.48911212056944,41.62604209393936
ngram,8,VSR,5,507.064,6.502832459782446,5.69998396713536
ngram,8,LLMR,5,34.684,0.1273970172335281,0.11166840914063335
ngram,16,XSR,5,6041.87,31.337089047963428,27.468169640658473
ngram,16,VSR,5,532.2099999999999,5.788194882690125,5.073576512086924
ngram,16,LLMR,5,34.754,0.005477225575050571,0.0048009998958540735
ngram,32,XSR,5,6036.912,8.740982210255055,7.661808721600691
ngram,32,VSR,5,543.028,3.582850820226867,3.140507211009116
ngram,32,LLMR,5,34.35,0.0,0.0
ngram,64,XSR,5,6007.19,34.83954864805224,30.53821084032263
ngram,64,VSR,5,540.692,5.831845334025915,5.1118378196495895
ngram,64,LLMR,5,33.544,0.005477225575050571,0.0048009998958540735
ngram,96,XSR,5,5963.006,50.877367070240325,44.59597850382454
ngram,96,VSR,5,537.096,11.585617376730521,10.155241382143515
ngram,96,LLMR,5,33.55,0.0,0.0
ngram,128,XSR,5,5975.04,35.388026930022654,31.018973251608546
ngram,128,VSR,5,542.892,20.071924920146543,17.593817915802124
ngram,128,LLMR,5,31.942,0.00447213595499869,0.00391999999999922
bm25,1,XSR,5,5673.73,10.646691974505549,13.217494825123303
bm25,1,VSR,5,535.12,1.7802668339324939,2.210138860144321
bm25,1,LLMR,5,44.184,0.14943225890014417,0.13098315006137157
bm25,2,XSR,5,10070.82,29.78174608715871,36.972993652184414
bm25,2,VSR,5,900.154,26.461973282429245,32.8516121026694
bm25,2,LLMR,5,44.128,0.11300442469213402,0.09905274554498802
bm25,4,XSR,5,22518.008,59.028002422578446,73.28119555126233
bm25,4,VSR,5,1285.54,4.627369663210377,5.744717206421876
bm25,4,LLMR,5,43.391999999999996,0.2187921387984513,0.19177976535599525
bm25,8,XSR,5,22867.26,108.36609156004474,134.5327034766824
bm25,8,VSR,5,1539.2340000000002,6.423513835900107,7.9745672259913984
bm25,8,LLMR,5,44.504,0.30245660845813893,0.2651149064085231
bm25,16,XSR,5,22784.83,46.124352569981305,57.26176664693108
bm25,16,VSR,5,1692.806,6.7439254147714776,8.372346967885228
bm25,16,LLMR,5,45.116,0.2898792852205881,0.25409039651273574
bm25,32,XSR,5,22716.184,78.18744291764496,97.06696921713007
bm25,32,VSR,5,1781.692,14.732339257565302,18.289682688774665
bm25,32,LLMR,5,43.976,0.0861974477580417,0.07555539424819548
bm25,64,XSR,5,22595.42,52.61217587213019,65.31617182065169
bm25,64,VSR,5,1844.494,18.27751159211776,22.690889852307127
bm25,64,LLMR,5,43.128,0.004472135955001867,0.003920000000002004
bm25,96,XSR,5,22509.03,80.55292204507592,100.00362862275807
bm25,96,VSR,5,1866.284,18.59201656625773,23.081336751505937
bm25,96,LLMR,5,43.134,0.005477225575050571,0.0048009998958540735
bm25,128,XSR,5,22281.649999999998,98.85737504101546,122.72796528337416
bm25,128,VSR,5,1894.458,7.725384780061153,9.590794361014355
bm25,128,LLMR,5,41.526,0.00894427190999738,0.00783999999999844
bm25,192,XSR,5,22112.642,133.87075771056286,166.1958523372116
bm25,192,VSR,5,1933.152,27.10421129640196,33.64892808086328
intent,1,XSR,5,8808.15,94.7462819850995,83.04877783654611
intent,1,VSR*,5,926.518,3.385405441007046,2.967438705415848
intent,1,LLMR,5,48.252,0.7646371688585369,0.6702340295747441
intent,2,XSR,5,15176.2,57.41908654794171,50.33004844503943
intent,2,VSR*,5,1163.218,11.131114948647362,9.756852438691515
intent,2,LLMR,5,47.47,0.3627671429443395,0.3179794207177551
intent,4,XSR,5,39397.468,498.969874411272,437.3663786999897
intent,4,VSR*,5,1117.066,5.172434629843011,4.53383885306915
intent,4,LLMR,5,47.408,1.096275512816007,0.9609278549402136
intent,8,XSR,5,41134.686,626.898983712687,549.5011871019839
intent,8,VSR*,5,1104.722,4.453006849309838,3.903232599576952
intent,8,LLMR,5,48.36,0.4453650188328658,0.3903796511090187
intent,16,XSR,5,41286.82,182.61246822164097,160.06688585318284
intent,16,VSR*,5,1114.64,2.4435936650761274,2.141904285443245
intent,16,LLMR,5,48.41,0.4290687590584989,0.3760953496123027
